SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,VESA Mount,Power,Colour,Stock,ALP,DAC
4319786,MMQA2B/A,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,20,874.17,848
4359771,Z0TJ_2000294676_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,907.5,880.08
4558754,Z0TH_2000328928_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,915.84,888.1
4675808,Z0TJ_2000341947_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,949.17,920.18
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,981.67,952.26
4800549,Z0TJ_2000357772_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1015,984.34
4328274,Z0TH_2000291422_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,949.17,921.18
4815050,Z0TJ_2000358585_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,982.5,953.26
4399801,Z0TH_2000303541_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,990.84,961.28
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1024.17,993.36
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1056.67,1025.44
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1090,1057.52
