SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,Power,Colour,Stock,ALP,DAC
4573622,MQ2Y2B/A,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4082.5,3960
4573843,Z0UR_2000335058_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4124.17,4000.1
4573844,Z0UR_2000335059_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4206.67,4080.3
4573730,Z0UR_2000332465_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4495,4361
4573772,Z0UR_2000334132_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4536.67,4401.1
4573773,Z0UR_2000334133_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4619.17,4481.3
5240992,Z0UR_2000415085_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4607.5,4470.28
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4649.17,4510.38
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4731.67,4590.58
4573706,Z0UR_2000332481_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4382.5,4251.73
