"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Mouse and Trackpad","Keyboard Options","Power","Colour","Ethernet","Stock","ALP","DAC"
4944945,"MRTT2B/A","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","256GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","Gigabit Ethernet (10/100/1000BASE-T Gigabit Ethernet using RJ-45 connector)",12,915.83,888
4947825,"Z0W2_2000397423_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","256GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","10 Gigabit Ethernet (Nbase-T Ethernet with support for 1Gb, 2.5Gb, 5Gb and 10Gb Ethernet using RJ‑45 connector)",0,990.83,961.18
4947801,"Z0W2_2000383795_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","512GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","Gigabit Ethernet (10/100/1000BASE-T Gigabit Ethernet using RJ-45 connector)",0,1065.83,1034.37
4947833,"Z0W2_2000383797_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","512GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","10 Gigabit Ethernet (Nbase-T Ethernet with support for 1Gb, 2.5Gb, 5Gb and 10Gb Ethernet using RJ‑45 connector)",0,1140.83,1107.55
4947802,"Z0W2_2000385122_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","1TB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","Gigabit Ethernet (10/100/1000BASE-T Gigabit Ethernet using RJ-45 connector)",0,1215.83,1179.73
4947834,"Z0W2_2000390241_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","1TB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","10 Gigabit Ethernet (Nbase-T Ethernet with support for 1Gb, 2.5Gb, 5Gb and 10Gb Ethernet using RJ‑45 connector)",0,1290.83,1252.91
4947803,"Z0W2_2000385123_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","2TB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","Gigabit Ethernet (10/100/1000BASE-T Gigabit Ethernet using RJ-45 connector)",0,1515.83,1471.46
4947835,"Z0W2_42_GB_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","8GB 2666MHz DDR4 SDRAM","2TB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","10 Gigabit Ethernet (Nbase-T Ethernet with support for 1Gb, 2.5Gb, 5Gb and 10Gb Ethernet using RJ‑45 connector)",0,1590.83,1544.64
4947795,"Z0W2_2000385117_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","16GB 2666MHz DDR4 SDRAM","256GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","Gigabit Ethernet (10/100/1000BASE-T Gigabit Ethernet using RJ-45 connector)",0,1065.83,1034.37
4947827,"Z0W2_2000386888_CTO","MRTT2B/A","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)","16GB 2666MHz DDR4 SDRAM","256GB SSD/Flash","Intel UHD Graphics 630","Mouse is not included and must be purchased separately","Keyboard is not included and must be purchased separately","UK Power Supply","Space Grey","10 Gigabit Ethernet (Nbase-T Ethernet with support for 1Gb, 2.5Gb, 5Gb and 10Gb Ethernet using RJ‑45 connector)",0,1140.83,1107.55
