"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Touch","Display","Stock","ALP","DAC"
5373416,"MVFH2B/A","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,915.83,888
5375011,"Z0X1_2000451499_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1082.5,1050.41
5375012,"Z0X1_2000455677_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1249.16,1211.81
5375013,"Z0X1_2000452796_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1415.83,1374.22
5375010,"Z0X1_2000446635_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1065.83,1034.37
5375014,"Z0X1_2000445657_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1232.5,1196.78
5375015,"Z0X1_2000448128_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1399.16,1358.18
5375016,"Z0X1_2000454624_CTO","MVFH2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","TouchID","True Tone",0,1565.83,1520.59
5373415,"MVFK2B/A","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",6,915.83,888
5375243,"Z0X3_2_UK_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1082.5,1050.41
5375244,"Z0X3_2000446637_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1249.16,1211.81
5375269,"Z0X3_2000478142_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1415.83,1374.22
5375242,"Z0X3_2000446091_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",9,1065.83,1034.37
5375271,"Z0X3_2000446092_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1232.5,1196.78
5375272,"Z0X3_2000450969_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1399.16,1358.18
5375273,"Z0X3_2000462665_CTO","MVFK2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver","TouchID","True Tone",0,1565.83,1520.59
5373493,"MVFM2B/A","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",6,915.83,888
5374104,"Z0X5_2_UK_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1082.5,1050.41
5374105,"Z0X5_2000454121_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1249.16,1211.81
5374106,"Z0X5_4_UK_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1415.83,1374.22
5374103,"Z0X5_2000448989_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","128GB PCIe-based SSD/Flash","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1065.83,1034.37
5374107,"Z0X5_2000457849_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","256GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1232.5,1196.78
5374127,"Z0X5_2000454474_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1399.16,1358.18
5374128,"Z0X5_7_UK_CTO","MVFM2B/A","1.6GHz dual-core 8th-generation Intel Core i5 processor, Turbo Boost up to 3.6GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel UHD Graphics 617","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Gold","TouchID","True Tone",0,1565.83,1520.59
