"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Touch Bar","Stock","ALP","DAC"
5301876,"MV962B/A","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,40,1499.17,1454
5302640,"Z0WQ_2000437681_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1665.84,1616.41
5302641,"Z0WQ_2000452381_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1832.5,1777.81
5302642,"Z0WQ_6_GB_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2165.84,2102.62
5302617,"Z0WQ_2000432096_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1649.17,1600.37
5302646,"Z0WQ_2000432897_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1815.84,1762.78
5302718,"Z0WQ_2000432902_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1982.5,1924.18
5302719,"Z0WQ_2000451257_CTO","MV962B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2315.84,2248.99
5302616,"Z0WQ_2000432895_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1724.17,1672.55
5302643,"Z0WQ_2000432100_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1890.84,1834.96
5302644,"Z0WQ_8_GB_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2057.5,1996.36
5302645,"Z0WQ_9_GB_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2390.84,2321.17
5302618,"Z0WQ_2000432097_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1874.17,1818.92
5302720,"Z0WQ_2000432903_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2040.84,1981.33
5302721,"Z0WQ_2000432904_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2207.5,2142.73
5302722,"Z0WQ_2000432905_CTO","MV962B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2540.84,2467.54
5301877,"MV972B/A","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1665.83,1616
5302740,"Z0WR_2000443864_CTO","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1832.5,1778.41
