"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Stock","ALP","DAC"
5507892,"MVVJ2B/A","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",235,1999.17,1899
5512700,"Z0XZ_2000475487_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2074.17,1970.18
5512701,"Z0XZ_2000475488_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2149.17,2042.36
5512745,"Z0XZ_2000475492_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2149.17,2042.36
5512784,"Z0XZ_2000475493_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",2,2224.17,2113.54
5512788,"Z0XZ_2000479152_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2299.17,2185.72
5512746,"Z0XZ_2000478641_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2449.17,2328.07
5512785,"Z0XZ_27_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2524.17,2399.25
5512819,"Z0XZ_31_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2599.17,2471.43
5512747,"Z0XZ_2000478659_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2899.17,2756.14
5512786,"Z0XZ_28_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2974.17,2827.32
5512820,"Z0XZ_32_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","4TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3049.17,2899.5
5508029,"Z0XZ_2000476197_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3799.17,3613.29
5512787,"Z0XZ_29_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3874.17,3684.47
