"Base Model","Name","Category Name","product_type","active","purchase_ok","sale_ok","cost","list_price","website_published","product_public_category","images","description_sale"
"MVFH2B/A","13-inch MacBook Air: Space Grey","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 128GB - Space Grey","Storable Product","TRUE","TRUE","TRUE",769.2972,915.83,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-SG-1a.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-SG-1.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MVFJ2B/A","13-inch MacBook Air: Space Grey","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 256GB - Space Grey","Storable Product","TRUE","TRUE","TRUE",909.3,1082.5,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-SG-1a.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-SG-1.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MVFK2B/A","13-inch MacBook Air: Silver","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 128GB - Silver","Storable Product","TRUE","TRUE","TRUE",769.2972,915.83,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-S-1.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-S-2.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MVFL2B/A","13-inch MacBook Air: Silver","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 256GB - Silver","Storable Product","TRUE","TRUE","TRUE",909.3,1082.5,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-S-1.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-S-2.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MVFM2B/A","13-inch MacBook Air: Gold","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 128GB - Gold","Storable Product","TRUE","TRUE","TRUE",769.2972,915.83,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-G-1.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-G-2.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MVFN2B/A","13-inch MacBook Air: Gold","13-inch MacBook Air: 1.6GHz dual-core 8th-generation Intel Core i5 processor, 256GB - Gold","Storable Product","TRUE","TRUE","TRUE",909.3,1082.5,"TRUE","MacBook Air","https://www.albion.co.uk/wp-content/uploads/MBA-G-1.jpg, https://www.albion.co.uk/wp-content/uploads/MBA-G-2.jpg","The latest MacBook Air features a stunning Retina display with True Tone technology, Touch ID, the latest Apple-designed keyboard and a Force Touch trackpad — all housed in a thin and light iconic wedge design made from 100 per cent recycled aluminium. And with 12-hour battery life, it’s a do-it-all notebook that goes all day long."
"MUHN2B/A","13-inch MacBook Pro with Touch Bar: Space Grey","13-inch MacBook Pro with Touch Bar: 1.4GHz quad-core 8th-generation Intel Core i5 processor, 128GB - Space Grey","Storable Product","TRUE","TRUE","TRUE",882,1082.5,"TRUE","MacBook Pro","https://www.albion.co.uk/wp-content/uploads/MBP13-SG-new.jpg, https://www.albion.co.uk/wp-content/uploads/2019/11/AppleTV_PDP_Mac_4000x4000px.jpg","MacBook Pro has an eighth-generation quad-core Intel processor with Turbo Boost up to 4.1GHz. A brilliant and colourful Retina display with True Tone technology for a more true-to-life viewing experience. An Apple-designed keyboard. And the versatile Touch Bar for more ways to be productive. It’s Apple’s most powerful 13-inch notebook. Pushed even further."
"MUHP2B/A","13-inch MacBook Pro with Touch Bar: Space Grey","13-inch MacBook Pro with Touch Bar: 1.4GHz quad-core 8th-generation Intel Core i5 processor, 256GB - Space Grey","Storable Product","TRUE","TRUE","TRUE",1018.08,1249.17,"TRUE","MacBook Pro","https://www.albion.co.uk/wp-content/uploads/MBP13-SG-new.jpg, https://www.albion.co.uk/wp-content/uploads/2019/11/AppleTV_PDP_Mac_4000x4000px.jpg","MacBook Pro has an eighth-generation quad-core Intel processor with Turbo Boost up to 4.1GHz. A brilliant and colourful Retina display with True Tone technology for a more true-to-life viewing experience. An Apple-designed keyboard. And the versatile Touch Bar for more ways to be productive. It’s Apple’s most powerful 13-inch notebook. Pushed even further."
"MUHQ2B/A","13-inch MacBook Pro with Touch Bar: Silver","13-inch MacBook Pro with Touch Bar: 1.4GHz quad-core 8th-generation Intel Core i5 processor, 128GB - Silver","Storable Product","TRUE","TRUE","TRUE",882,1082.5,"TRUE","MacBook Pro","https://www.albion.co.uk/wp-content/uploads/MBP13-silver-new-1.jpg, https://www.albion.co.uk/wp-content/uploads/2019/11/AppleTV_PDP_Mac_4000x4000px.jpg","MacBook Pro has an eighth-generation quad-core Intel processor with Turbo Boost up to 4.1GHz. A brilliant and colourful Retina display with True Tone technology for a more true-to-life viewing experience. An Apple-designed keyboard. And the versatile Touch Bar for more ways to be productive. It’s Apple’s most powerful 13-inch notebook. Pushed even further."
"MUHR2B/A","13-inch MacBook Pro with Touch Bar: Silver","13-inch MacBook Pro with Touch Bar: 1.4GHz quad-core 8th-generation Intel Core i5 processor, 256GB - Silver","Storable Product","TRUE","TRUE","TRUE",1018.08,1249.17,"TRUE","MacBook Pro","https://www.albion.co.uk/wp-content/uploads/MBP13-silver-new-1.jpg, https://www.albion.co.uk/wp-content/uploads/2019/11/AppleTV_PDP_Mac_4000x4000px.jpg","MacBook Pro has an eighth-generation quad-core Intel processor with Turbo Boost up to 4.1GHz. A brilliant and colourful Retina display with True Tone technology for a more true-to-life viewing experience. An Apple-designed keyboard. And the versatile Touch Bar for more ways to be productive. It’s Apple’s most powerful 13-inch notebook. Pushed even further."
