"Class","Model","Categories","Status",,"Desc","DAC","ALP inc VAT"
"iMac Pro","MQ2Y2B/A","Processor","Default Value","3.2GHz","3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",0,0
"iMac Pro","MQ2Y2B/A","Processor","Alternatives","3.0GHz","3.0GHz 10-core Intel Xeon W processor, Turbo Boost up to 4.5GHz",583.46,600
"iMac Pro","MQ2Y2B/A","Processor","Alternatives","2.5GHz","2.5GHz 14-core Intel Xeon W processor, Turbo Boost up to 4.3GHz",1166.92,1200
"iMac Pro","MQ2Y2B/A","Processor","Alternatives","2.3GHz","2.3GHz 18-core Intel Xeon W processor, Turbo Boost up to 4.3GHz",1750.38,1800
"iMac Pro","MQ2Y2B/A","Memory","Default Value","32GB","32GB 2666MHz DDR4 ECC memory",0,0
"iMac Pro","MQ2Y2B/A","Memory","Alternatives","64GB","64GB 2666MHz DDR4 ECC memory",291.73,300
"iMac Pro","MQ2Y2B/A","Memory","Alternatives","128GB","128GB 2666MHz DDR4 ECC memory",1458.65,1500
"iMac Pro","MQ2Y2B/A","Memory","Alternatives","256GB","256GB 2666MHz DDR4 ECC memory",3792.48,3900
"iMac Pro","MQ2Y2B/A","HDD","Default Value","1TB SSD","1TB SSD",0,0
"iMac Pro","MQ2Y2B/A","HDD","Alternatives","2TB SSD","2TB SSD",291.73,300
"iMac Pro","MQ2Y2B/A","HDD","Alternatives","4TB SSD","4TB SSD",729.82,900
"iMac Pro","MQ2Y2B/A","Graphics","Default Value","RadeonPro580","Radeon Pro Vega 56 with 8GB of HBM2 memory",0,0
"iMac Pro","MQ2Y2B/A","Graphics","Alternatives","RadeonPro580","Radeon Pro Vega 64 with 16GB of HBM2 memory",401,412.5
"iMac Pro","MQ2Y2B/A","Graphics","Alternatives","RadeonPro64X","Radeon Pro Vega 64X with 16GB of HBM2 memory",510.28,525
"iMac Pro","MQ2Y2B/A","Mouse and Trackpad","Default Value","MagicMouse2","Magic Mouse 2 - Space Grey",0,0
"iMac Pro","MQ2Y2B/A","Mouse and Trackpad","Alternatives","MagicTrackpad","Magic Trackpad 2 - Space Grey",40.1,41.67
"iMac Pro","MQ2Y2B/A","Mouse and Trackpad","Alternatives","Mouse Track2","Magic Mouse 2 + Magic Trackpad 2 - Space Grey",120.3,124.17
"iMac Pro","MQ2Y2B/A","Keyboard Options","Default Value","WUK","Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey",0,0
"iMac Pro","MQ2Y2B/A","Power","Default Value","UK","UK Power Supply",0,0
"iMac Pro","MQ2Y2B/A","Colour","Default Value","Space Grey","Space Grey",0,0
"Mac mini","MRTT2B/A","Processor","Default Value","3.0Ghz","3.0GHz 6‑core 8th‑generation Intel Core i5 (Turbo Boost up to 4.1GHz)",0,0
"Mac mini","MRTT2B/A","Processor","Alternatives","3.2GHz","3.2GHz 6‑core 8th‑generation Intel Core i7 (Turbo Boost up to 4.6GHz)",121.3,125
